type,startDate,endDate,value
feature_appleStandTime,2023-09-09 08:55:00 +0000,2023-09-09 09:00:00 +0000,3.0
feature_appleStandTime,2023-09-09 08:50:00 +0000,2023-09-09 08:55:00 +0000,1.0
feature_appleStandTime,2023-09-09 08:45:00 +0000,2023-09-09 08:50:00 +0000,4.0
feature_appleStandTime,2023-09-09 08:40:00 +0000,2023-09-09 08:45:00 +0000,4.0
feature_appleStandTime,2023-09-09 08:35:00 +0000,2023-09-09 08:40:00 +0000,5.0
feature_appleStandTime,2023-09-09 08:30:00 +0000,2023-09-09 08:35:00 +0000,5.0
feature_appleStandTime,2023-09-09 08:25:00 +0000,2023-09-09 08:30:00 +0000,3.0
feature_appleStandTime,2023-09-09 08:20:00 +0000,2023-09-09 08:25:00 +0000,1.0
feature_appleStandTime,2023-09-09 08:05:00 +0000,2023-09-09 08:10:00 +0000,1.0
feature_appleStandTime,2023-09-09 07:30:00 +0000,2023-09-09 07:35:00 +0000,1.0
feature_appleStandTime,2023-09-09 07:25:00 +0000,2023-09-09 07:30:00 +0000,2.0
feature_appleStandTime,2023-09-09 07:20:00 +0000,2023-09-09 07:25:00 +0000,3.0
feature_appleStandTime,2023-09-09 07:15:00 +0000,2023-09-09 07:20:00 +0000,2.0
feature_appleStandTime,2023-09-09 07:10:00 +0000,2023-09-09 07:15:00 +0000,1.0
feature_appleStandTime,2023-09-08 11:35:00 +0000,2023-09-08 11:40:00 +0000,4.0
feature_appleStandTime,2023-09-08 11:30:00 +0000,2023-09-08 11:35:00 +0000,3.0
feature_appleStandTime,2023-09-08 11:25:00 +0000,2023-09-08 11:30:00 +0000,4.0
feature_appleStandTime,2023-09-08 11:20:00 +0000,2023-09-08 11:25:00 +0000,5.0
feature_appleStandTime,2023-09-08 11:15:00 +0000,2023-09-08 11:20:00 +0000,5.0
feature_appleStandTime,2023-09-08 11:10:00 +0000,2023-09-08 11:15:00 +0000,4.0
feature_appleStandTime,2023-09-08 11:00:00 +0000,2023-09-08 11:05:00 +0000,1.0
feature_appleStandTime,2023-09-08 10:55:00 +0000,2023-09-08 11:00:00 +0000,5.0
feature_appleStandTime,2023-09-08 10:50:00 +0000,2023-09-08 10:55:00 +0000,5.0
feature_appleStandTime,2023-09-08 10:45:00 +0000,2023-09-08 10:50:00 +0000,5.0
feature_appleStandTime,2023-09-08 10:40:00 +0000,2023-09-08 10:45:00 +0000,5.0
feature_appleStandTime,2023-09-08 10:35:00 +0000,2023-09-08 10:40:00 +0000,5.0
feature_appleStandTime,2023-09-08 10:30:00 +0000,2023-09-08 10:35:00 +0000,3.0
feature_appleStandTime,2023-09-05 11:50:00 +0000,2023-09-05 11:55:00 +0000,1.0
feature_appleStandTime,2023-09-05 11:40:00 +0000,2023-09-05 11:45:00 +0000,1.0
feature_appleStandTime,2023-09-05 10:40:00 +0000,2023-09-05 10:45:00 +0000,1.0
feature_appleStandTime,2023-09-05 08:30:00 +0000,2023-09-05 08:35:00 +0000,1.0
feature_appleStandTime,2023-09-05 08:20:00 +0000,2023-09-05 08:25:00 +0000,1.0
feature_appleStandTime,2023-09-05 08:15:00 +0000,2023-09-05 08:20:00 +0000,1.0
feature_appleStandTime,2023-09-05 08:10:00 +0000,2023-09-05 08:15:00 +0000,3.0
feature_appleStandTime,2023-09-05 08:05:00 +0000,2023-09-05 08:10:00 +0000,3.0
feature_appleStandTime,2023-09-05 07:55:00 +0000,2023-09-05 08:00:00 +0000,1.0
feature_appleStandTime,2023-09-05 06:55:00 +0000,2023-09-05 07:00:00 +0000,3.0
feature_appleStandTime,2023-09-05 06:45:00 +0000,2023-09-05 06:50:00 +0000,1.0
feature_appleStandTime,2023-09-05 06:40:00 +0000,2023-09-05 06:45:00 +0000,1.0
feature_appleStandTime,2023-09-05 06:25:00 +0000,2023-09-05 06:30:00 +0000,2.0
feature_appleStandTime,2023-09-05 06:10:00 +0000,2023-09-05 06:15:00 +0000,1.0
feature_appleStandTime,2023-09-04 14:30:00 +0000,2023-09-04 14:35:00 +0000,1.0
feature_appleStandTime,2023-09-04 14:25:00 +0000,2023-09-04 14:30:00 +0000,1.0
feature_appleStandTime,2023-09-04 13:50:00 +0000,2023-09-04 13:55:00 +0000,1.0
feature_appleStandTime,2023-09-04 13:35:00 +0000,2023-09-04 13:40:00 +0000,1.0
feature_appleStandTime,2023-09-04 13:15:00 +0000,2023-09-04 13:20:00 +0000,2.0
feature_appleStandTime,2023-09-04 12:30:00 +0000,2023-09-04 12:35:00 +0000,1.0
feature_appleStandTime,2023-09-04 11:35:00 +0000,2023-09-04 11:40:00 +0000,1.0
feature_appleStandTime,2023-09-04 10:50:00 +0000,2023-09-04 10:55:00 +0000,1.0
feature_appleStandTime,2023-09-04 08:50:00 +0000,2023-09-04 08:55:00 +0000,1.0
feature_appleStandTime,2023-09-04 08:35:00 +0000,2023-09-04 08:40:00 +0000,1.0
feature_appleStandTime,2023-09-04 08:30:00 +0000,2023-09-04 08:35:00 +0000,2.0
feature_appleStandTime,2023-09-04 08:20:00 +0000,2023-09-04 08:25:00 +0000,1.0
feature_appleStandTime,2023-09-04 07:50:00 +0000,2023-09-04 07:55:00 +0000,1.0
feature_appleStandTime,2023-09-04 06:05:00 +0000,2023-09-04 06:10:00 +0000,1.0
feature_appleStandTime,2023-09-04 05:55:00 +0000,2023-09-04 06:00:00 +0000,1.0
feature_appleStandTime,2023-09-03 20:20:00 +0000,2023-09-03 20:25:00 +0000,3.0
feature_appleStandTime,2023-09-03 20:15:00 +0000,2023-09-03 20:20:00 +0000,2.0
feature_appleStandTime,2023-09-03 20:10:00 +0000,2023-09-03 20:15:00 +0000,2.0
feature_appleStandTime,2023-09-03 19:20:00 +0000,2023-09-03 19:25:00 +0000,3.0
feature_appleStandTime,2023-09-03 18:15:00 +0000,2023-09-03 18:20:00 +0000,1.0
feature_appleStandTime,2023-09-03 18:05:00 +0000,2023-09-03 18:10:00 +0000,2.0
feature_appleStandTime,2023-09-03 17:45:00 +0000,2023-09-03 17:50:00 +0000,1.0
feature_appleStandTime,2023-09-03 17:40:00 +0000,2023-09-03 17:45:00 +0000,2.0
feature_appleStandTime,2023-09-03 17:35:00 +0000,2023-09-03 17:40:00 +0000,1.0
